NETWORK;Technology;GSM / HSPA / LTE
;2G bands;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2
;3G bands;HSDPA
;4G bands;LTE
;Speed;HSPA, LTE
;GPRS;Yes
;EDGE;Yes
LAUNCH;Announced;2016, August
;Status;Available. Released 2016, October
BODY;Dimensions;191.7 x 101 x 9.4 mm (7.55 x 3.98 x 0.37 in)
;Weight;260 g (9.17 oz)
;SIM;Dual SIM
DISPLAY;Type;IPS LCD capacitive touchscreen, 16M colors
;Size;7.0 inches (~73.4% screen-to-body ratio)
;Resolution;800 x 1280 pixels (~216 ppi pixel density)
;Multitouch;Yes
PLATFORM;OS;Android OS, v6.0 (Marshmallow)
;Chipset;Mediatek MT8735
;CPU;Quad-core 1.3 GHz Cortex-A53
;GPU;Mali-T720MP2
MEMORY;Card slot;microSD, up to 32 GB (dedicated slot)
;Internal;32 GB, 2 GB RAM
CAMERA;Primary;13 MP, autofocus
;Features;Geo-tagging, touch focus, face detection, HDR, panorama
;Video;1080p@30fps
;Secondary;2 MP
SOUND;Alert types;"Vibration; MP3, WAV ringtones"
;Loudspeaker;Yes
;3.5mm jack;Yes
COMMS;WLAN;Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot
;Bluetooth;v4.0, A2DP
;GPS;Yes, with A-GPS
;Radio;FM radio
;USB;microUSB v2.0
FEATURES;Sensors;Accelerometer, proximity
;Messaging;SMS(threaded view), MMS, Email, Push Mail, IM
;Browser;HTML
;Java;No
;;- MP4/H.264 player
;;- MP3/WAV/eAAC+/Flac player
;;- Photo/video editor
;;- Document viewer
BATTERY;;Non-removable Li-Po 3400 mAh battery
MISC;Colors;Black
;Price group;4/10
